"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.cellobello.org/","1","Welcome to CelloBello, Your Online Cello Resource Center","56","516","Indexable",""
"https://www.cellobello.org/cello-books/","1","CelloBooks - CelloBello","23","204","Indexable",""
"https://www.cellobello.org/ensemble-lessons/category/interpretation/","1","Interpretation Archives - CelloBello","36","309","Indexable",""
"https://www.cellobello.org/cello-lessons/category/history/","1","History Archives - CelloBello","29","250","Indexable",""
"https://www.cellobello.org/cello-job/orchestra/tampere-philharmonic-orchestra-principal-and-assistant-principal-cello/","1","Tampere Philharmonic Orchestra: Principal and assistant principal cello - CelloBello","84","743","Indexable",""
"https://www.cellobello.org/about/","1","About - CelloBello","18","158","Indexable",""
"https://www.cellobello.org/ensemble-lessons/category/rehearsal-strategies/","1","Rehearsal Strategies Archives - CelloBello","42","373","Indexable",""
"https://www.cellobello.org/cello-job/education/the-purcell-school-head-of-strings-department/","1","The Purcell School: Head of Strings Department - CelloBello","59","531","Indexable",""
"https://www.cellobello.org/cello-lessons/category/practicing/","1","Practicing Archives - CelloBello","32","277","Indexable",""
"https://www.cellobello.org/repertoire/","1","Repertoire - CelloBello","23","198","Indexable",""
"https://www.cellobello.org/cello-lessons/category/technique/","1","Technique Archives - CelloBello","31","280","Indexable",""
"https://www.cellobello.org/organizer/balourdet-quartet/","1","Balourdet Quartet – CelloBello","30","271","Indexable",""
"https://www.cellobello.org/events/list/","1","Events from Friday, October 1, 2021 – Sunday, December 26, 2021 – CelloBello","76","697","Non-Indexable","Canonicalised"
"https://www.cellobello.org/cello-main/","1","Cello Lessons Online from CelloBello Cello Resource Center","58","531","Indexable",""
"https://www.cellobello.org/event/how-to-build-shared-language-in-rehearsal/","1","How to Build Shared Language in Rehearsal - CelloBello","54","493","Indexable",""
"https://www.cellobello.org/support-us/","1","Support CelloBello: Ways to Give","32","290","Indexable",""
"https://www.cellobello.org/cello-job/orchestra/artis-naples-naples-philharmonic-section-cello-one-year/","1","Artis-Naples, Naples Philharmonic: Section Cello (one year) - CelloBello","72","631","Indexable",""
"https://www.cellobello.org/contact/","1","CelloBello - Contact Us! We would love to hear from you!","56","499","Indexable",""
"https://www.cellobello.org/cello-lessons/history/bach-suite-no-1-in-g-major-bwv-1007/","1","Bach: Suite No. 1 in G Major, BWV 1007 - CelloBello","51","453","Indexable",""
"https://www.cellobello.org/cello-lessons/category/mindset/","1","Mindset Archives - CelloBello","29","259","Indexable",""
"https://www.cellobello.org/privacy-policy/","1","Privacy Policy - CelloBello","27","228","Indexable",""
"https://www.cellobello.org/terms-of-use/","1","Terms of Use - CelloBello","25","225","Indexable",""
"https://www.cellobello.org/cello-lessons/mindset/alisa-weilerstein-interview-psychology-sound-projection/","1","Alisa Weilerstein: Psychology of Sound Projection - CelloBello","62","545","Indexable",""
"https://www.cellobello.org/cello-lessons/category/body-awareness/","1","Body Awareness Archives - CelloBello","36","334","Indexable",""
"https://www.cellobello.org/cello-competitions/","1","CelloCompetitions - A Worldwide Resource For Cello Competitions","63","590","Indexable",""
"https://www.cellobello.org/cello-lessons/body-awareness/bow-hold-principles-part-1/","1","Bow Hold Principles – Part 1 - CelloBello","41","359","Indexable",""
"https://www.cellobello.org/cello-jobs/","1","CelloJobs - CelloBello's Resource For Jobs for Cellists and Music Professionals","79","700","Indexable",""
"https://www.cellobello.org/cello-job/orchestra/opera-de-marseille-4eme-violoncelle-solo/","1","Opéra de Marseille: 4ème violoncelle solo - CelloBello","54","476","Indexable",""
"https://www.cellobello.org/ensemble-lesson/the-art-of-collaboration-warming-up-with-bach-chorales/","1","The Art of Collaboration: Warming Up With Bach Chorales - CelloBello","68","617","Indexable",""
"https://www.cellobello.org/cello-blog/","1","CelloBlog - The CelloBello Music Blog About All Things Cello","60","531","Indexable",""
"https://www.cellobello.org/cello-workshops/","1","Cello Workshops - CelloBello","28","254","Indexable",""
"https://www.cellobello.org/events/list/?eventDisplay=past","1","Past Events from Sunday, December 26, 2021 – Friday, October 1, 2021 – CelloBello","81","743","Non-Indexable","Canonicalised"
"https://www.cellobello.org/event/cellochat-julie-sevilla-fraysse/","1","CelloChat: Julie Sévilla-Fraysse - CelloBello","45","384","Indexable",""
"https://www.cellobello.org/ensemble-main/","1","Ensemble Main - CelloBello","26","242","Indexable",""
"https://www.cellobello.org/cello-lessons/category/interpretation/","1","Interpretation Archives - CelloBello","36","309","Indexable",""
"https://www.cellobello.org/ensemble-lessons/category/history/","1","History Archives - CelloBello","29","250","Indexable",""
"https://www.cellobello.org/event/consider-cellobello-during-national-estate-planning-awareness-week-nepaw/","1","Consider CelloBello during National Estate Planning Awareness Week (NEPAW) - CelloBello","87","811","Indexable",""
"https://www.cellobello.org/event/cellobello-online-auction-2021/","1","CelloBello Online Auction 2021 - CelloBello","43","378","Indexable",""
"https://www.cellobello.org/event/cellobello-gala-2021/","1","CelloBello Gala 2021: A Celebration of Founder and Artistic Director Paul Katz’s 80th Birthday - CelloBello","107","932","Indexable",""
"https://www.cellobello.org/event/cellochat-christopher-costanza/","1","CelloChat: Christopher Costanza - CelloBello","44","395","Indexable",""
"https://www.cellobello.org/cello-lessons/history/saint-saens-the-swan-from-carnival-of-the-animals/","1","Saint-Saëns: “The Swan” from Carnival of the Animals - CelloBello","65","585","Indexable",""
