"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.cellobello.org/cello-job/orchestra/tampere-philharmonic-orchestra-principal-and-assistant-principal-cello/","1","Tampere Philharmonic Orchestra: Principal and assistant principal cello - CelloBello","84","743","Indexable",""
"https://www.cellobello.org/cello-job/orchestra/artis-naples-naples-philharmonic-section-cello-one-year/","1","Artis-Naples, Naples Philharmonic: Section Cello (one year) - CelloBello","72","631","Indexable",""
"https://www.cellobello.org/cello-lessons/mindset/alisa-weilerstein-interview-psychology-sound-projection/","1","Alisa Weilerstein: Psychology of Sound Projection - CelloBello","62","545","Indexable",""
"https://www.cellobello.org/cello-competitions/","1","CelloCompetitions - A Worldwide Resource For Cello Competitions","63","590","Indexable",""
"https://www.cellobello.org/cello-jobs/","1","CelloJobs - CelloBello's Resource For Jobs for Cellists and Music Professionals","79","700","Indexable",""
"https://www.cellobello.org/ensemble-lesson/the-art-of-collaboration-warming-up-with-bach-chorales/","1","The Art of Collaboration: Warming Up With Bach Chorales - CelloBello","68","617","Indexable",""
"https://www.cellobello.org/event/consider-cellobello-during-national-estate-planning-awareness-week-nepaw/","1","Consider CelloBello during National Estate Planning Awareness Week (NEPAW) - CelloBello","87","811","Indexable",""
"https://www.cellobello.org/event/cellobello-gala-2021/","1","CelloBello Gala 2021: A Celebration of Founder and Artistic Director Paul Katz’s 80th Birthday - CelloBello","107","932","Indexable",""
"https://www.cellobello.org/cello-lessons/history/saint-saens-the-swan-from-carnival-of-the-animals/","1","Saint-Saëns: “The Swan” from Carnival of the Animals - CelloBello","65","585","Indexable",""
"https://www.cellobello.org/cello-lessons/interpretation/master-class-schubert-arpeggione-sonata-mvt-3/","1","Master Class: Schubert ""Arpeggione"" Sonata Mvt. 3 - CelloBello","62","559","Indexable",""
"https://www.cellobello.org/cello-lessons/history/tchaikovsky-valse-sentimentale-from-six-pieces-op-51/","1","Tchaikovsky: “Valse sentimentale” from Six Pieces, Op. 51 - CelloBello","70","622","Indexable",""
